"velocity:0","velocity:1","velocity:2","density","Cell Type"
-0.000183,-7e-06,-0.000165,1.0003,12
-3.2e-05,-7e-06,-6.7e-05,1.0002,12
-2.8e-05,1.1e-05,6.2e-05,0.99977,12
-0.000161,9e-06,0.000148,0.99974,12
-0.000349,3e-06,0.00017,0.99976,12
-0.000521,-1e-06,0.000129,0.99983,12
-0.000621,-0,4.8e-05,0.99994,12
-0.000621,1e-06,-4.7e-05,1.0001,12
-0.000522,2e-06,-0.000129,1.0002,12
-0.00035,-2e-06,-0.00017,1.0002,12
-0.000162,-8e-06,-0.000148,1.0003,12
-2.8e-05,-1.1e-05,-6.2e-05,1.0002,12
-2e-05,9e-06,5.1e-05,0.99975,12
-0.00012,6e-06,0.000114,0.99973,12
-0.000262,1e-06,0.000128,0.99976,12
-0.000391,-1e-06,9.6e-05,0.99983,12
-0.000467,-1e-06,3.6e-05,0.99994,12
-0.000467,1e-06,-3.5e-05,1.0001,12
-0.000392,2e-06,-9.6e-05,1.0002,12
-0.000262,-0,-0.000128,1.0002,12
-0.00012,-6e-06,-0.000114,1.0003,12
-2e-05,-9e-06,-5e-05,1.0002,12
-9e-06,3e-06,2.6e-05,0.99974,12
-5e-05,2e-06,5.3e-05,0.99973,12
-0.000111,0,5.8e-05,0.99976,12
-0.000167,-0,4.2e-05,0.99983,12
-0.0002,-0,1.6e-05,0.99994,12
-0.0002,0,-1.5e-05,1.0001,12
-0.000168,0,-4.2e-05,1.0002,12
-0.000112,-0,-5.7e-05,1.0002,12
-5.1e-05,-2e-06,-5.3e-05,1.0003,12
-9e-06,-3e-06,-2.6e-05,1.0003,12
-1.5e-05,-5e-06,6.1e-05,0.9997,12
-7.9e-05,-4e-06,0.000126,0.99968,12
-0.000167,-2e-06,0.000133,0.99972,12
-0.000244,-1e-06,9.7e-05,0.99981,12
-0.000288,-0,3.5e-05,0.99993,12
-0.000288,0,-3.4e-05,1.0001,12
-0.000245,1e-06,-9.5e-05,1.0002,12
-0.000167,2e-06,-0.000132,1.0003,12
-8e-05,3e-06,-0.000126,1.0003,12
-1.5e-05,5e-06,-6.1e-05,1.0003,12
-3.4e-05,-1.6e-05,0.000129,0.99973,12
-0.00019,-1.5e-05,0.00028,0.9997,12
-0.000399,-8e-06,0.000304,0.99972,12
-0.000583,-3e-06,0.000225,0.99981,12
-0.000688,-1e-06,8.3e-05,0.99993,12
-0.000688,1e-06,-8.1e-05,1.0001,12
-0.000584,3e-06,-0.000224,1.0002,12
-0.000401,7e-06,-0.000303,1.0003,12
-0.000191,1.4e-05,-0.000279,1.0003,12
-3.4e-05,1.5e-05,-0.000129,1.0003,12
-4.8e-05,-1.9e-05,0.000161,0.99976,12
-0.000257,-2e-05,0.000363,0.99971,12
-0.000538,-1.2e-05,0.000402,0.99973,12
-0.000783,-6e-06,0.000301,0.99981,12
-0.000923,-2e-06,0.000111,0.99993,12
-0.000923,1e-06,-0.000109,1.0001,12
-0.000784,5e-06,-0.0003,1.0002,12
-0.000539,1.1e-05,-0.000402,1.0003,12
-0.000258,1.9e-05,-0.000363,1.0003,12
-4.8e-05,1.8e-05,-0.000161,1.0002,12
-5.4e-05,-1.3e-05,0.000175,0.99979,12
-0.000293,-1.6e-05,0.000404,0.99972,12
-0.000612,-1e-05,0.000453,0.99973,12
-0.000891,-5e-06,0.000341,0.99981,12
-0.001051,-2e-06,0.000125,0.99993,12
-0.001051,1e-06,-0.000125,1.0001,12
-0.000892,4e-06,-0.000341,1.0002,12
-0.000613,9e-06,-0.000454,1.0003,12
-0.000293,1.5e-05,-0.000405,1.0003,12
-5.4e-05,1.3e-05,-0.000175,1.0002,12
-5.7e-05,-5e-06,0.00018,0.9998,12
-0.000307,-6e-06,0.00042,0.99973,12
-0.000644,-4e-06,0.000474,0.99973,12
-0.000938,-2e-06,0.000357,0.99981,12
-0.001106,-1e-06,0.000131,0.99993,12
-0.001106,0,-0.000131,1.0001,12
-0.000939,2e-06,-0.000358,1.0002,12
-0.000644,4e-06,-0.000475,1.0003,12
-0.000308,6e-06,-0.000422,1.0003,12
-5.7e-05,5e-06,-0.000181,1.0002,12
-5.7e-05,5e-06,0.00018,0.9998,12
-0.000307,6e-06,0.00042,0.99973,12
-0.000644,4e-06,0.000474,0.99973,12
-0.000938,2e-06,0.000357,0.99981,12
-0.001106,1e-06,0.000131,0.99993,12
-0.001106,-0,-0.000131,1.0001,12
-0.000939,-2e-06,-0.000358,1.0002,12
-0.000644,-4e-06,-0.000475,1.0003,12
-0.000308,-6e-06,-0.000422,1.0003,12
-5.7e-05,-5e-06,-0.000181,1.0002,12
-5.4e-05,1.3e-05,0.000175,0.99979,12
-0.000293,1.6e-05,0.000404,0.99972,12
-0.000612,1e-05,0.000453,0.99973,12
-0.000891,5e-06,0.000341,0.99981,12
-0.001051,2e-06,0.000125,0.99993,12
-0.001051,-1e-06,-0.000125,1.0001,12
-0.000892,-4e-06,-0.000341,1.0002,12
-0.000613,-9e-06,-0.000454,1.0003,12
-0.000293,-1.5e-05,-0.000405,1.0003,12
-5.4e-05,-1.3e-05,-0.000175,1.0002,12
-4.8e-05,1.9e-05,0.000161,0.99976,12
-0.000257,2e-05,0.000363,0.99971,12
-0.000538,1.2e-05,0.000402,0.99973,12
-0.000783,6e-06,0.000301,0.99981,12
-0.000923,2e-06,0.000111,0.99993,12
-0.000923,-1e-06,-0.000109,1.0001,12
-0.000784,-5e-06,-0.0003,1.0002,12
-0.000539,-1.1e-05,-0.000402,1.0003,12
-0.000258,-1.9e-05,-0.000363,1.0003,12
-4.8e-05,-1.8e-05,-0.000161,1.0002,12
-3.4e-05,1.6e-05,0.000129,0.99973,12
-0.00019,1.5e-05,0.00028,0.9997,12
-0.000399,8e-06,0.000304,0.99972,12
-0.000583,3e-06,0.000225,0.99981,12
-0.000688,1e-06,8.3e-05,0.99993,12
-0.000688,-1e-06,-8.1e-05,1.0001,12
-0.000584,-3e-06,-0.000224,1.0002,12
-0.000401,-7e-06,-0.000303,1.0003,12
-0.000191,-1.4e-05,-0.000279,1.0003,12
-3.4e-05,-1.5e-05,-0.000129,1.0003,12
-1.5e-05,5e-06,6.1e-05,0.9997,12
-7.9e-05,4e-06,0.000126,0.99968,12
-0.000167,2e-06,0.000133,0.99972,12
-0.000244,1e-06,9.7e-05,0.99981,12
-0.000288,0,3.5e-05,0.99993,12
-0.000288,-0,-3.4e-05,1.0001,12
-0.000245,-1e-06,-9.5e-05,1.0002,12
-0.000167,-2e-06,-0.000132,1.0003,12
-8e-05,-3e-06,-0.000126,1.0003,12
-1.5e-05,-5e-06,-6.1e-05,1.0003,12
-2.3e-05,-6e-06,0.000126,0.99958,12
-0.000114,-5e-06,0.000242,0.99957,12
-0.000231,-4e-06,0.000244,0.99962,12
-0.000328,-2e-06,0.000173,0.99975,12
-0.000381,-1e-06,6.3e-05,0.99991,12
-0.000382,1e-06,-6e-05,1.0001,12
-0.00033,2e-06,-0.000171,1.0003,12
-0.000233,4e-06,-0.000243,1.0004,12
